what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278506513785
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1278506520278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506522710
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506528740
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278506529655
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1278506530730
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506531991
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506661183
activated,perspective,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.Perspective",1278506661482
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1278506661501
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278506663924
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506667344
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278506667518
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278506667573
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278506667623
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506704977
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506708320
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278506708438
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278506708478
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506711075
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278506711627
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278508342655
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278508345095
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278508475817
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278508477896
