what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1278311220625
started,bundle,com.powerflasher.fdt.core,4.0.0.1077,"com.powerflasher.fdt.core",1278311220625
started,bundle,com.powerflasher.fdt.core.dom,4.0.0.1077,"com.powerflasher.fdt.core.dom",1278311220625
started,bundle,com.powerflasher.fdt.core.mxml,4.0.0.1077,"com.powerflasher.fdt.core.mxml",1278311220625
started,bundle,com.powerflasher.fdt.core.swc,4.0.0.1077,"com.powerflasher.fdt.core.swc",1278311220632
started,bundle,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui",1278311220632
started,bundle,com.powerflasher.fdt.ui.mxml,4.0.0.1077,"com.powerflasher.fdt.ui.mxml",1278311220632
started,bundle,com.powerflasher.fdt.ui.professional,4.0.0.1077,"com.powerflasher.fdt.ui.professional",1278311220632
os,sysinfo,,,"macosx",1278311220636
arch,sysinfo,,,"x86",1278311220636
ws,sysinfo,,,"cocoa",1278311220636
locale,sysinfo,,,"en_US",1278311220636
processors,sysinfo,,,"2",1278311220636
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1278311220636
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1278311220636
java.specification.name,sysinfo,,,"Java Platform API Specification",1278311220636
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278311220636
java.specification.version,sysinfo,,,"1.6",1278311220636
java.vendor,sysinfo,,,"Apple Inc.",1278311220636
java.version,sysinfo,,,"1.6.0_20",1278311220636
java.vm.info,sysinfo,,,"mixed mode",1278311220636
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1278311220636
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1278311220636
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278311220636
java.vm.specification.version,sysinfo,,,"1.0",1278311220636
