what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1277880812877
java.vm.vendor,sysinfo,,,"Apple Inc.",1277880812877
java.vm.version,sysinfo,,,"16.3-b01-279",1277880812877
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1277880812921
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1277880813146
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1277880813152
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.monitor.ui",1277880813297
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1277880813373
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1277880813399
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1277880813430
started,bundle,com.powerflasher.fdt.ui.enterprise,4.0.0.1077,"com.powerflasher.fdt.ui.enterprise",1277880813440
started,bundle,com.powerflasher.fdt.core.profiler,4.0.0.1077,"com.powerflasher.fdt.core.profiler",1277880813507
started,bundle,com.powerflasher.fdt.ui.launch,4.0.0.1077,"com.powerflasher.fdt.ui.launch",1277880813573
opened,editor,com.powerflasher.fdt.ui.welcome,,"com.powerflasher.fdt.ui.welcome.welcomeScreenBrowser",1277880814224
activated,editor,com.powerflasher.fdt.ui.welcome,,"com.powerflasher.fdt.ui.welcome.welcomeScreenBrowser",1277880814241
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277880817971
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277880817995
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277880818539
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277880887518
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277880892017
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277881011288
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1277881011970
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277881021009
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1277881047594
started,bundle,org.eclipse.jpt.core,2.2.0.v200906070220,"org.eclipse.jpt.core",1277881047639
