what,kind,bundleId,bundleVersion,description,time
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278250082167
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278250082200
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1278250088223
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278250129383
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250131473
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250137366
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278250165662
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278250170946
executed,command,,,"com.powerflasher.fdt.ui.launch.compcLaunchShortcut.run",1278250178033
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250178354
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250180028
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278250191136
executed,command,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.actions.OrganizeImports",1278250204479
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250206056
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250206537
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278250206542
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278250210528
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250212865
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250443012
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1278250444686
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1278250445943
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250446930
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278250448589
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1278250449544
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278250479406
