what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578727679
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1278578729308
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578740047
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278578746593
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278578746620
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578785461
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578789485
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278578792885
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578794999
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578964215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578978666
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278579033683
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278579212132
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278579213243
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1278579213275
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278579411356
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278579421577
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278579427733
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278579486958
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278579487254
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278579518979
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278579572010
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278579572173
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278579574988
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278579588600
