what,kind,bundleId,bundleVersion,description,time
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface/GameUI.as' does not exist.",1278578182838
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface/WorldUI.as' does not exist.",1278578182846
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface/GameUI.as' does not exist.",1278578182851
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578187027
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278578187039
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578190839
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface/WorldUI.as' does not exist.",1278578190864
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278578201973
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278578202067
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578213447
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578213575
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578213752
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578213804
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578217556
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1278578221908
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578221913
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1278578221915
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1278578221991
error,log,,,"Errors occurred during the build.",1278578222280
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578222568
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578223440
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578223588
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278578231868
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278578231883
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578237923
