what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278513718885
error,log,,,"FDT log: No message gotten.",1278513719938
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513720643
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513728887
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278513732622
error,log,,,"FDT log: No message gotten.",1278513732734
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1278513734752
error,log,,,"FDT log: No message gotten.",1278513735969
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513736136
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513742288
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278513747408
error,log,,,"FDT log: No message gotten.",1278513747539
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1278513748654
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513749491
error,log,,,"FDT log: No message gotten.",1278513749818
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513764452
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513771782
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513774716
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513792865
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513794645
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1278513794651
error,log,,,"FDT log: No message gotten.",1278513795702
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513798624
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278513801002
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1278513805578
