what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277821194221
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277821194236
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277821195584
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821224460
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277821228156
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277821229476
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821267739
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821275839
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821291627
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821305769
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1277821309414
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277821314371
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821330215
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821338289
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277821347976
executed,command,,,"AUTOGEN:::com.powerflasher.fdt.ui.editor.editorContribution/com.powerflasher.fdt.ui.editor.RulerDoubleClick",1277821352759
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277821354683
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1277821358093
error,log,,,"/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 44 Error: Implicit coercion of a value of type UpperCreature to an unrelated type Class.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                                        ^\n\n/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 25 Error: Implicit coercion of a value with static type Object to a possibly unrelated type UpperCreature.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                     ^\n\n",1277821359177
error,log,,,"/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 44 Error: Implicit coercion of a value of type UpperCreature to an unrelated type Class.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                                        ^\n\n/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 25 Error: Implicit coercion of a value with static type Object to a possibly unrelated type UpperCreature.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                     ^\n\n",1277821359178
error,log,,,"/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 44 Error: Implicit coercion of a value of type UpperCreature to an unrelated type Class.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                                        ^\n\n/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 25 Error: Implicit coercion of a value with static type Object to a possibly unrelated type UpperCreature.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                     ^\n\n",1277821359178
error,log,,,"/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 44 Error: Implicit coercion of a value of type UpperCreature to an unrelated type Class.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                                        ^\n\n/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 25 Error: Implicit coercion of a value with static type Object to a possibly unrelated type UpperCreature.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                     ^\n\n",1277821359179
error,log,,,"/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 44 Error: Implicit coercion of a value of type UpperCreature to an unrelated type Class.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                                        ^\n\n/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 25 Error: Implicit coercion of a value with static type Object to a possibly unrelated type UpperCreature.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                     ^\n\n",1277821359180
error,log,,,"/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 44 Error: Implicit coercion of a value of type UpperCreature to an unrelated type Class.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                                        ^\n\n/Users/roikr/Developer/FDT/ChatpetzWorld/interface/GameInterface.as(21): col: 25 Error: Implicit coercion of a value with static type Object to a possibly unrelated type UpperCreature.\n\n\t\t\tupperCreature = this.mcUpperCreature as upperCreature;\n\t\t\t                     ^\n\n",1277821359180
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277821365512
