what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889790399
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277889795283
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1277889798983
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1277889802028
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1277889804354
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889837957
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889853984
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277889867534
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889874133
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889887908
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889915266
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277889915427
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889918067
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277889918290
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277889921634
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889925695
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889969002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277889970978
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277890007168
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277890007470
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277890007500
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277890009327
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277890009638
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277890012959
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277890013253
