what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1278339297988
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1278339297992
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1278339297994
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1278339298020
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1278339298020
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1278339298025
started,bundle,com.powerflasher.fdt.core,4.0.0.1077,"com.powerflasher.fdt.core",1278339298025
started,bundle,com.powerflasher.fdt.core.dom,4.0.0.1077,"com.powerflasher.fdt.core.dom",1278339298026
started,bundle,com.powerflasher.fdt.core.mxml,4.0.0.1077,"com.powerflasher.fdt.core.mxml",1278339298036
started,bundle,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui",1278339298036
started,bundle,com.powerflasher.fdt.ui.mxml,4.0.0.1077,"com.powerflasher.fdt.ui.mxml",1278339298037
started,bundle,com.powerflasher.fdt.ui.professional,4.0.0.1077,"com.powerflasher.fdt.ui.professional",1278339298037
os,sysinfo,,,"macosx",1278339298040
arch,sysinfo,,,"x86",1278339298040
ws,sysinfo,,,"cocoa",1278339298040
locale,sysinfo,,,"en_US",1278339298040
processors,sysinfo,,,"2",1278339298040
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1278339298040
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1278339298040
java.specification.name,sysinfo,,,"Java Platform API Specification",1278339298040
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1278339298040
java.specification.version,sysinfo,,,"1.6",1278339298040
java.vendor,sysinfo,,,"Apple Inc.",1278339298040
java.version,sysinfo,,,"1.6.0_20",1278339298040
java.vm.info,sysinfo,,,"mixed mode",1278339298040
