what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892558704
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277892560352
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892564417
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277892564429
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277892571298
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277892571325
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1277892578609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892584778
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892592491
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277892593317
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1277892596782
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1277892601822
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892606339
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277892606955
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892607017
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277892607032
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277892607036
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892607262
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277892610391
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277892615309
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892618880
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277892618895
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277892620129
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1277892621236
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277892622011
