what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009719622
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009729595
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009731700
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278009934821
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009934933
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1278009935609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009940334
error,log,,,"Unable to create editor ID com.powerflasher.fdt.ui.editor.ASEditor: Language null not supported",1278009940445
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278009940530
opened,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278009940532
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278009940536
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009942523
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009950839
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009971977
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009977261
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009987129
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278009988331
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278009989189
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278009989190
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009990313
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009991905
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278009991917
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278009991977
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1278009992501
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1278009992502
