what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978041662
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277978041679
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1277978043790
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277978045541
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978046365
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1277978046376
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978055382
activated,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1277978055398
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277978070668
executed,command,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.actions.OrganizeImports",1277978072559
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277978078490
executed,command,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.actions.OrganizeImports",1277978079497
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1277978120527
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1277978123350
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978201402
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978903372
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978914013
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978922241
executed,command,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.actions.OrganizeImports",1277978924281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978932980
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1277978939499
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277978965787
executed,command,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.actions.OrganizeImports",1277978968225
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277978983707
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1277978986022
