what,kind,bundleId,bundleVersion,description,time
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278578237935
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578240923
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278578243811
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.cleanAction",1278578243871
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578243893
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1278578243919
error,log,,,"Errors occurred during the build.",1278578244184
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578244544
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578245287
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578245367
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578254165
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278578254177
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578257564
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278578257802
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278578257851
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278578257913
closed,editor,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.editor.ASEditor",1278578258014
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578260983
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278578261068
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578261267
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1278578262651
error,log,,,"FDT log: Resource '/ChatpetzWorld/interface' does not exist.",1278578262766
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578267655
activated,view,com.powerflasher.fdt.ui,4.0.0.1077,"com.powerflasher.fdt.ui.views.FlashExplorer",1278578267676
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1278578280102
